gnvcmcbn  m,15200
jason,10000
hh,9700
jasonhan,7600
nbvndbbjvn,6700
json,6600
jasomm,6500
feng,4200
jasom,4000
la,3300
n  nnnnnnnn,2700
ggg,2400
,1600
Jason,800
h,600
dddd,400
jmage,400
